Ticker,Nom,IDX,RN,NofS,DIV,secteur,Delta S1 %,RNPG S1,Delta RNPG S1,Estimation RN 22
SLF,Salafin,SALAFIN P,84700000.0,3124119,52.0,Sociétés de financement,1.1,48000000,8.9,100000000.0
SAH,Sanlam Maroc,Sanlam Maroc N,359800000.0,4116874,35.0,Assurances,8.3,191000000,0.6,360000000.0
SMI,Smi,SMI P,-67000000.0,1645090,,Mines,41.0,29000000,,
SNP,Snep,SNEP P,126200000.0,2400000,20.0,Chimie,20.6,61700000,33.0,130000000.0
SBM,Societe des boissons du maroc,Ste Boissons P,335000000.0,2829653,113.0,Boissons,9.8,110200000,1.6,250000000.0
MSA,Sodep-marsa maroc,SODEP P,666000000.0,73395600,7.2,Infrastructure,14.0,384000000,49.0,780000000.0
SID,Sonasid,Sonasid P,108000000.0,3900000,38.0,BTP,20.0,60000000,26.0,95000000.0
SOT,Sothema,SOTHEMA Br,279000000.0,7200000,25.0,Pharmaceutique,18.2,158000000,21.53,330000000.0
SNA,Stokvis nord afrique,Stokvis Nord Afr.,-29300000.0,136547978,,Distributeurs,-41.0,-8500000,,
STR,Stroc industrie,STROC Indus. P,-11000000.0,52437630,,BTP,41.15,-7000000,,
TQM,Taqa morocco,TAQA Morocco P,1005000000.0,23588542,35.0,Infrastructure,70.5,605000000,36.4,1300000000.0
TGC,Tgcc s.a,TGCC Br,236000000.0,31639850,5.5,BTP,98.0,94000000,47.0,200000000.0
TIM,Timar,Timar P,12300000.0,301100,8.0,Transport,24.0,10700000,88.0,21000000.0
TMA,Totalenergies marketing maroc,TotalEnergie MM P,935000000.0,8960000,56.0,Pétrole & Gaz,71.0,327000000,-9.0,700000000.0
UMR,Unimer,Unimer P,-63000000.0,11413880,,Agroalimentaire et Production,46.0,3000000,,8000000.0
WAA,Wafa assurance,Wafa Assur P,536500000.0,3500000,120.0,Assurances,7.7,554000000,47.4,1000000000.0
